EMG1MAV,EMG2MAV,EMG3MAV,EMG4MAV,EMG5MAV,EMG6MAV,EMG7MAV,EMG8MAV,EMG1Slope,EMG2Slope,EMG3Slope,EMG4Slope,EMG5Slope,EMG6Slope,EMG7Slope,EMG8Slope,EMG1ZC,EMG2ZC,EMG3ZC,EMG4ZC,EMG5ZC,EMG6ZC,EMG7ZC,EMG8ZC,EMG1SSC,EMG2SSC,EMG3SSC,EMG4SSC,EMG5SSC,EMG6SSC,EMG7SSC,EMG8SSC,EMG1WFL,EMG2WFL,EMG3WFL,EMG4WFL,EMG5WFL,EMG6WFL,EMG7WFL,EMG8WFL,activeCube,activeCubeX,activeCubeY,trackerX,trackerY,trackerZ,GoalGesture
0.975,2.625,2.775,1.5,2.175,2.1,1.075,0.975,-0.2,-0.25,-0.375,-0.025,-0.075,-0.2,-0.075,0.25,5,16,17,7,12,12,8,9,10,15,15,14,16,19,19,15,41,127,131,66,109,84,53,50,0.0,-0.383,0.617,0.198,0.662,0.043,1
0.775,2.375,2.4,1.475,2.1,1.9,1.0,1.225,0.025,-0.25,0.225,0.075,-0.125,-0.325,0.05,-0.025,3,17,17,11,13,8,5,10,10,13,17,17,15,13,15,16,32,114,115,73,109,77,47,55,0.0,-0.383,0.617,0.2,0.661,0.045,1
0.8,2.125,2.625,1.55,1.975,1.575,1.05,1.2,0.15,-0.3,0.15,-0.225,-0.125,-0.225,0.4,-0.025,3,17,17,14,12,7,4,11,15,17,17,18,17,14,17,19,31,110,125,75,119,75,50,61,0.0,-0.383,0.617,0.201,0.66,0.047,1
0.95,1.825,2.775,1.325,1.85,1.35,1.45,1.175,0.425,0.125,-0.15,0.05,-0.15,-0.025,-0.025,0.0,8,10,14,7,10,10,9,8,20,18,19,17,16,24,20,21,59,85,126,63,104,75,67,62,0.0,-0.383,0.617,0.204,0.66,0.048,1
1.375,1.95,2.625,1.375,1.7,1.325,1.425,1.175,-0.025,0.85,-0.075,-0.075,-0.4,0.025,-0.3,0.0,9,12,12,5,15,12,6,5,20,19,20,16,18,24,14,16,69,102,112,65,97,76,60,55,0.0,-0.383,0.617,0.206,0.662,0.049,1
1.35,2.8,2.55,1.3,1.3,1.35,1.125,1.175,0.525,0.625,0.2,0.15,0.45,0.375,1.525,0.7,6,20,14,8,12,9,2,6,17,17,21,15,20,18,10,16,52,153,137,63,87,72,40,50,0.0,-0.383,0.617,0.207,0.663,0.05,1
1.875,3.425,2.75,1.45,1.75,1.725,2.65,1.875,1.475,0.8,0.8,0.625,1.05,0.425,0.225,1.1,10,20,15,14,14,8,11,11,19,18,21,21,20,12,16,18,105,183,162,77,116,78,154,97,0.0,-0.383,0.617,0.207,0.665,0.052,1
3.35,4.225,3.55,2.075,2.8,2.15,2.875,2.975,-0.075,2.275,1.75,0.075,0.15,-0.075,-1.5,-0.5,14,18,17,14,15,10,14,18,25,20,23,17,18,13,21,20,223,224,230,101,151,97,169,177,0.0,-0.383,0.617,0.207,0.669,0.053,1
3.275,6.5,5.3,2.15,2.95,2.075,1.375,2.475,-0.875,2.35,2.775,-0.4,-0.15,-0.05,-0.05,-1.05,15,21,22,13,12,16,11,13,26,20,27,22,22,16,22,18,214,403,352,112,164,101,74,143,0.0,-0.383,0.617,0.205,0.674,0.056,1
2.4,8.85,8.075,1.75,2.8,2.025,1.325,1.425,0.025,-0.225,0.325,0.775,0.325,-0.075,0.4,0.0,15,21,26,12,15,17,11,6,24,25,27,20,25,20,22,16,133,548,548,97,158,97,67,69,0.0,-0.383,0.617,0.197,0.685,0.065,1
2.425,8.625,8.4,2.525,3.125,1.95,1.725,1.425,-0.325,0.375,-0.15,1.45,1.25,-0.125,0.35,0.0,16,16,21,10,15,9,14,7,23,25,24,15,20,15,23,18,134,510,530,146,165,86,86,63,0.0,-0.383,0.617,0.179,0.705,0.089,1
2.1,9.0,8.25,3.975,4.375,1.825,2.075,1.425,0.625,4.65,3.025,0.8,4.35,1.1,1.075,0.65,15,18,16,11,15,8,12,12,24,25,18,17,22,16,19,22,131,542,446,188,211,89,101,69,0.0,-0.383,0.617,0.152,0.728,0.121,1
2.725,13.65,11.275,4.775,8.725,2.925,3.15,2.075,0.55,3.7,4.65,1.375,5.275,0.7,-0.45,1.675,15,19,17,14,18,12,9,19,27,23,18,18,22,20,15,25,182,785,637,208,411,146,145,114,0.0,-0.383,0.617,0.113,0.749,0.156,1
3.275,17.35,15.925,6.15,14.0,3.625,2.7,3.75,1.1,-3.875,-3.875,-1.475,-3.45,-1.2,-1.375,0.3,17,17,19,17,20,16,14,19,26,22,20,18,21,20,21,22,204,1035,874,303,678,199,142,217,0.0,-0.383,0.617,0.059,0.768,0.195,1
4.375,13.475,12.05,4.675,10.55,2.425,1.325,4.05,0.1,-6.5,-6.125,-1.55,-6.2,-0.65,0.0,-0.35,18,20,19,18,19,16,11,22,26,24,18,20,21,21,17,28,288,862,661,232,497,138,65,272,0.0,-0.383,0.617,-0.006,0.777,0.234,1
4.475,6.975,5.925,3.125,4.35,1.775,1.325,3.7,-1.875,-1.55,-1.075,4.25,0.25,0.05,0.025,-0.775,17,14,16,16,17,12,11,21,22,23,18,26,18,25,17,29,285,399,298,190,217,96,65,276,0.0,-0.383,0.617,-0.069,0.779,0.269,1
2.6,5.425,4.85,7.375,4.6,1.825,1.35,2.925,0.0,1.875,-0.6,0.575,-0.525,-0.425,-0.075,-0.975,15,9,17,22,13,11,11,22,19,23,20,30,17,24,19,27,144,257,261,473,246,101,66,207,0.0,-0.383,0.617,-0.127,0.774,0.305,1
2.6,7.3,4.25,7.95,4.075,1.4,1.275,1.95,0.675,0.25,2.025,-3.1,-1.375,-0.175,-0.2,0.2,17,14,17,29,15,9,8,21,24,23,21,28,22,19,12,22,145,385,252,528,230,76,52,107,0.0,-0.383,0.617,-0.175,0.762,0.34,1
3.275,7.55,6.275,4.85,2.7,1.225,1.075,2.15,2.125,-0.8,3.4,1.825,1.375,0.7,2.175,0.75,24,21,22,26,16,3,6,16,27,25,26,28,27,11,11,22,214,473,391,311,170,53,57,125,0.0,-0.383,0.617,-0.208,0.75,0.373,1
5.4,6.75,9.675,6.675,4.075,1.925,3.25,2.9,7.525,4.9,6.15,9.725,2.225,1.1,9.725,5.225,27,21,29,24,16,7,11,14,30,28,30,28,26,13,17,19,363,457,678,376,230,92,170,170,0.0,-0.383,0.617,-0.228,0.741,0.399,1
12.925,11.65,15.825,16.4,6.3,3.025,12.975,8.125,8.0,3.8,-0.2,2.65,0.8,0.575,6.25,7.4,26,19,25,25,16,19,21,21,31,27,27,28,23,25,23,23,919,713,1014,1004,336,201,841,544,0.0,-0.383,0.617,-0.235,0.736,0.414,1
20.925,15.45,15.625,19.05,7.1,3.6,19.225,15.525,1.8,-1.05,-6.275,-8.425,-0.825,-0.025,-4.6,-0.875,24,18,24,26,15,22,29,26,24,27,25,30,19,32,28,27,1359,911,965,1237,370,229,1334,1116,0.0,-0.383,0.617,-0.238,0.731,0.421,1
22.725,14.4,9.35,10.625,6.275,3.575,14.625,14.65,8.3,1.975,-2.175,2.575,0.1,-0.575,-3.275,5.65,23,17,23,22,13,15,27,25,22,27,21,29,15,23,27,26,1289,908,581,717,287,182,995,981,0.0,-0.383,0.617,-0.238,0.726,0.423,1
31.025,16.375,7.175,13.2,6.375,3.0,11.35,20.3,-0.65,2.6,-0.25,3.225,1.25,0.225,1.025,7.025,26,22,19,23,17,11,28,24,26,26,17,28,18,17,27,22,2130,1050,405,956,356,151,782,1197,0.0,-0.383,0.617,-0.238,0.724,0.424,1
30.375,18.975,6.925,16.425,7.625,3.225,12.375,27.325,-8.25,-2.35,-0.2,-1.175,0.425,0.975,-0.525,-1.125,20,21,17,20,19,11,26,25,25,28,20,25,22,22,25,26,2079,1214,365,1146,473,192,773,1770,0.0,-0.383,0.617,-0.238,0.723,0.422,1
22.125,16.625,6.725,15.25,8.05,4.2,11.85,26.2,6.125,-3.575,-0.275,5.825,0.65,-0.35,-1.225,2.25,19,22,21,18,19,15,22,27,25,26,26,22,22,27,24,29,1293,1077,397,993,481,236,700,1763,0.0,-0.383,0.617,-0.237,0.723,0.421,1
28.25,13.05,6.45,21.075,8.7,3.85,10.625,28.45,3.4,2.15,1.325,0.575,-0.8,-0.175,1.125,-1.25,23,24,19,22,24,15,23,27,26,24,27,22,23,27,29,30,1731,821,374,1409,555,220,752,1959,0.0,-0.383,0.617,-0.235,0.724,0.421,1
31.65,15.2,7.775,21.65,7.9,3.675,11.75,27.2,1.025,5.15,-0.675,-7.05,-0.375,0.675,1.25,4.675,21,18,21,25,22,17,23,26,23,26,27,26,24,25,27,28,1931,911,442,1423,465,211,848,1858,0.0,-0.383,0.617,-0.234,0.724,0.421,1
32.675,20.35,7.1,14.6,7.525,4.35,13.0,31.875,3.425,1.125,-1.425,2.075,2.825,0.25,-0.4,5.95,17,22,21,22,17,22,21,27,20,27,26,27,26,23,21,28,1717,1298,414,963,441,231,736,2132,0.0,-0.383,0.617,-0.233,0.725,0.421,1
36.1,21.475,5.675,16.675,10.35,4.6,12.6,37.825,2.15,0.75,0.9,2.6,0.525,-0.425,-1.2,-4.575,21,25,23,21,19,24,18,25,22,29,26,25,25,25,18,25,1913,1382,370,1133,667,290,656,2460,0.0,-0.383,0.617,-0.232,0.726,0.422,1
38.25,22.225,6.575,19.275,10.875,4.175,11.4,33.25,-7.3,-0.825,0.875,-0.55,-2.25,-0.775,-2.2,-9.15,23,22,25,26,21,22,17,19,27,27,26,28,27,26,22,22,2258,1420,390,1356,726,266,682,2145,0.0,-0.383,0.617,-0.232,0.726,0.422,1
